id;"Comp. Word";Pronunciation;"English Translation";Frequency
3459;責務;sekimu;duty;2155
3460;完敗;kanpai;"complete defeat";2154
3461;公務;koomu;"official business";2154
3462;移送;isoo;transfer;2153
3463;団結;danketu;unity;2147
3464;書房;syoboo;library;2142
3465;気合;kiai;scream;2141
3466;宮殿;kyuuden;palace;2139
3467;破損;hason;damage;2138
3468;非核;hikaku;non-nuclear;2137
3469;劇的;gekiteki;dramatic;2136
3470;作詞;sakusi;"song lyrics";2133
3471;陥落;kanraku;fall;2131
3472;恩恵;onkei;grace;2127
3473;昇級;syookyuu;promotion;2125
3474;算出;sansyutu;calculation;2124
3475;着服;tyakuhuku;"dressing oneself";2124
3476;因果;inga;"cause and effect";2121
3477;進路;sinro;route;2121
3478;制圧;seiatu;"gaining total control";2117
3479;奪取;dassyu;usurpation;2116
3480;天候;tenkoo;weather;2115
3481;原潜;gensen;"nuclear submarine";2114
3482;注視;tyuusi;"gazing steadily at";2114
3483;健在;kenzai;"in good health";2113
3484;護衛;goei;guard;2113
3485;朝日;asahi;"morning sun";2113
3486;悲観;hikan;pessimism;2112
3487;書評;syohyoo;"book review";2111
3488;振替;hurikae;transfer;2108
3489;会食;kaisyoku;"dining together";2106
3490;出来;deki;workmanship;2106
3491;肉体;nikutai;"the body";2106
3492;清算;seisan;settlement;2105
3493;監修;kansyuu;supervision;2103
3494;久々;hisabisa;"long time";2103
3495;食堂;syokudoo;"dining room";2103
3496;不能;hunoo;incompetency;2103
3497;果物;kudamono;fruit;2101
3498;検診;kensin;"physical examination";2101
3499;勝訴;syooso;"winning a lawsuit";2100
3500;去年;kyonen;"last year";2098
3501;公設;koosetu;public;2098
3502;燃費;nenpi;"fuel consumption";2098
3503;開花;kaika;"flowers budding";2095
3504;贈呈;zootei;presentation;2095
3505;立地;ritti;site;2094
3506;恒久;kookyuu;permanent;2093
3507;威力;iryoku;power;2091
3508;活字;katuzi;"printing type";2091
3509;肥満;himan;corpulence;2091
3510;無縁;muen;unrelated;2090
3511;外貨;gaika;"foreign currency";2088
3512;全容;zenyoo;"full portrait";2088
3513;布団;huton;futon;2088
3514;疑念;ginen;doubt;2086
3515;敬遠;keien;"pretending to respect someone while in fact staying distant from him";2086
3516;本選;honsen;"final selection";2086
3517;弱者;zyakusya;"weak person";2085
3518;通達;tuutatu;notification;2085
3519;人選;zinsen;"personnel selection";2084
3520;指南;sinan;instruction;2083
3521;役人;yakunin;"government official";2083
3522;母体;botai;"mother's body, esp. when pregnant or after giving birth";2082
3523;冗談;zyoodan;jest;2079
3524;開館;kaikan;"opening a hall for that day's business";2078
3525;骨格;kokkaku;skeleton;2078
3526;飼料;siryoo;fodder;2078
3527;人格;zinkaku;personality;2078
3528;移管;ikan;"transfer of control";2077
3529;右派;uha;"right wing";2077
3530;過酷;kakoku;rigour;2077
3531;俳人;haizin;"haiku poet";2077
3532;異動;idoo;change;2076
3533;竜王;ryuuoo;"Dragon King";2076
3534;安否;anpi;safety;2075
3535;王位;ooi;"the throne";2075
3536;酸化;sanka;oxidation;2075
3537;経歴;keireki;"personal history";2074
3538;保留;horyuu;reserve;2074
3539;発送;hassoo;sending;2073
3540;密着;mittyaku;"glued to";2072
3541;休止;kyuusi;pause;2071
3542;故人;kozin;"the deceased";2070
3543;再燃;sainen;recurrence;2070
3544;偉大;idai;greatness;2069
3545;抜群;batugun;preeminence;2069
3546;本命;honmei;favorite;2068
3547;当期;tooki;"current term";2066
3548;法定;hootei;legal;2064
3549;水分;suibun;water;2063
3550;服用;hukuyoo;"taking medicine";2060
3551;融和;yuuwa;harmony;2059
3552;死球;sikyuu;"hit a batter by pitching a ball";2056
3553;算定;santei;calculation;2055
3554;外食;gaisyoku;"eating out";2052
3555;組員;kumiin;member;2051
3556;品種;hinsyu;kind;2051
3557;必着;hittyaku;"must arrive";2050
3558;粉飾;hunsyoku;makeup;2049
3559;変身;hensin;metamorphosis;2049
3560;決裂;keturetu;breakdown;2048
3561;左手;hidarite;"left hand";2047
3562;長寿;tyoozyu;longevity;2047
3563;一流;itiryuu;first-class;2046
3564;始動;sidoo;starting;2046
3565;布陣;huzin;"battle formation";2041
3566;増収;zoosyuu;"increase in yield";2040
3567;誤算;gosan;miscalculation;2039
3568;勲章;kunsyoo;decoration;2038
3569;昨日;kinoo;yesterday;2038
3570;広域;kooiki;"wide area";2037
3571;競売;kyoobai;auction;2036
3572;増派;zooha;reinforcements;2036
3573;独走;dokusoo;"running alone";2036
3574;農協;nookyoo;"agricultural cooperative";2036
3575;郵貯;yuutyo;savings;2031
3576;監察;kansatu;inspection;2030
3577;跡地;atoti;site;2030
3578;中華;tyuuka;Chinese;2030
3579;生誕;seitan;birth;2029
3580;天国;tengoku;paradise;2029
3581;復元;hukugen;restoration;2029
3582;慢性;mansei;chronicity;2029
3583;混迷;konmei;turmoil;2027
3584;功績;kooseki;achievements;2026
3585;地理;tiri;geography;2024
3586;半額;hangaku;half;2024
3587;逆風;gyakuhuu;headwind;2021
3588;商売;syoobai;trade;2021
3589;人前;ninmae;"portion of food";2021
3590;同派;dooha;"same sect";2021
3591;全長;zentyoo;"over-all length";2020
3592;称賛;syoosan;praise;2019
3593;恐喝;kyookatu;blackmail;2018
3594;激突;gekitotu;"crash into";2018
3595;院内;innai;"inside the House";2016
3596;転向;tenkoo;conversion;2016
3597;加熱;kanetu;heating;2013
3598;台帳;daityoo;"account book";2013
3599;適当;tekitoo;suitable;2012
3600;後悔;kookai;regret;2009
3601;却下;kyakka;rejection;2008
3602;市区;siku;"municipal district";2008
3603;志願;sigan;aspiration;2007
3604;奮闘;huntoo;"hard struggle";2005
3605;混戦;konsen;"free-for-all fight";2003
3606;敏感;binkan;sensibility;2003
3607;告白;kokuhaku;confession;2002
3608;足首;asikubi;ankle;2002
3609;両面;ryoomen;"both sides";2001
3610;左前;hidarimae;"wearing a kimono with the right side over the left";2000
3611;就業;syuugyoo;employment;1998
3612;戦車;sensya;tank;1998
3613;駐在;tyuuzai;residence;1998
3614;反戦;hansen;anti-war;1994
3615;景観;keikan;scenery;1993
3616;収拾;syuusyuu;controlling;1993
3617;本業;hongyoo;"principal occupation";1991
3618;締約;teiyaku;"conclusion of a treaty";1990
3619;筆者;hissya;writer;1989
3620;民衆;minsyuu;people;1989
3621;騒音;sooon;noise;1988
3622;乗車;zyoosya;"taking a train, bus, etc.";1984
3623;規律;kiritu;order;1983
3624;発令;haturei;"official announcement";1982
3625;困惑;konwaku;bewilderment;1980
3626;包囲;hooi;siege;1980
3627;強風;kyoohuu;"strong wind";1979
3628;停車;teisya;stopping;1979
3629;電源;dengen;"source of electricity";1979
3630;右肩;migikata;"right shoulder";1978
3631;空母;kuubo;"aircraft carrier";1978
3632;子宮;sikyuu;womb;1976
3633;後日;gozitu;"in the future";1975
3634;洪水;koozui;flood;1975
3635;社団;syadan;corporation;1975
3636;海綿;kaimen;sponge;1973
3637;間際;magiwa;"on the verge of";1972
3638;頭部;toobu;head;1971
3639;口頭;kootoo;oral;1968
3640;登用;tooyoo;appointment;1968
3641;堅調;kentyoo;bullish;1965
3642;通称;tuusyoo;"popular name";1964
3643;点数;tensuu;marks;1964
3644;軽量;keiryoo;"light weight";1962
3645;隔離;kakuri;isolation;1959
3646;受託;zyutaku;"being entrusted with";1958
3647;感触;kansyoku;feel;1957
3648;中道;tyuudoo;"middle of the road";1957
3649;内科;naika;"internal medicine, i.e. treatment by medical procedures rather than surgical procedures";1957
3650;野手;yasyu;fielder;1957
3651;手元;temoto;"at hand";1956
3652;露呈;rotei;exposure;1954
3653;投棄;tooki;abandonment;1953
3654;悲願;higan;"one's dearest wish";1953
3655;寸前;sunzen;"on the verge";1952
3656;内相;naisyoo;"Home Minister";1952
3657;少子;syoosi;"low birth rate";1951
3658;自白;zihaku;confession;1950
3659;晩年;bannen;"last years";1950
3660;単身;tansin;alone;1949
3661;特急;tokkyuu;"limited express";1948
3662;歳入;sainyuu;"annual revenue";1947
3663;授与;zyuyo;award;1947
3664;抹消;massyoo;erasure;1946
3665;県外;kengai;"outside the prefecture";1943
3666;中年;tyuunen;middle-age;1943
3667;県営;kenei;prefectural;1940
3668;手間;tema;time;1940
3669;間近;mazika;proximity;1939
3670;強打;kyooda;smiting;1939
3671;顕著;kentyo;remarkable;1937
3672;失格;sikkaku;disqualification;1937
3673;対面;taimen;interview;1937
3674;道場;doozyoo;dojo;1937
3675;出土;syutudo;"archeological excavation";1936
3676;屋外;okugai;outdoors;1935
3677;若年;zyakunen;youth;1935
3678;市営;siei;"municipal management";1934
3679;次男;zinan;"second son";1933
3680;各紙;kakusi;"every newspaper";1930
3681;客員;kyakuin;member;1930
3682;一挙;ikkyo;"one effort";1928
3683;上京;zyookyoo;"proceeding to the capital";1928
3684;大家;ooya;landlord;1928
3685;好感;kookan;"good feeling";1927
3686;奨学;syoogaku;"encouragement to study";1927
3687;地面;zimen;ground;1927
3688;短編;tanpen;short;1925
3689;山頂;santyoo;summit;1924
3690;豆腐;toohu;tofu;1924
3691;減益;geneki;"decrease in profits";1921
3692;出頭;syuttoo;appearance;1920
3693;区分;kubun;division;1919
3694;役目;yakume;duty;1919
3695;公職;koosyoku;"public office";1916
3696;増益;zooeki;increased;1916
3697;陽性;yoosei;positivity;1916
3698;刑法;keihoo;"criminal law";1914
3699;版画;hanga;woodcut;1914
3700;続落;zokuraku;prices;1913
3701;一線;issen;line;1911
3702;告知;kokuti;notice;1911
3703;収納;syuunoo;crop;1911
3704;過度;kado;excess;1909
3705;年次;nenzi;annual;1909
3706;巡回;zyunkai;"going around";1907
3707;薄型;usugata;thin;1907
3708;友情;yuuzyoo;friendship;1907
3709;損壊;sonkai;damage;1906
3710;好手;koosyu;expert;1905
3711;週間;syuukan;week;1904
3712;発端;hottan;origin;1903
3713;累計;ruikei;"cumulative total";1903
3714;下着;sitagi;underwear;1902
3715;点滴;tenteki;raindrops;1902
3716;交錯;koosaku;mixture;1900
3717;風土;huudo;"natural features";1900
3718;執念;syuunen;tenacity;1899
3719;椅子;isu;chair;1898
3720;地道;zimiti;steady;1898
3721;屋上;okuzyoo;rooftop;1897
3722;細菌;saikin;bacillus;1897
3723;在学;zaigaku;"in school";1895
3724;詩集;sisyuu;"poetry anthology";1895
3725;自給;zikyuu;self-support;1894
3726;終身;syuusin;"the whole life";1894
3727;風潮;huutyoo;tide;1894
3728;軍縮;gunsyuku;disarmament;1892
3729;権益;keneki;interests;1891
3730;辞典;ziten;dictionary;1891
3731;親類;sinrui;relation;1887
3732;無人;muzin;"lack of help";1886
3733;老舗;rooho;"old shop";1886
3734;穏健;onken;quiet;1885
3735;出塁;syuturui;"on base";1885
3736;排水;haisui;drainage;1885
3737;真摯;sinsi;sincerity;1884
3738;無言;mugon;silence;1884
3739;祭典;saiten;festival;1882
3740;挑発;tyoohatu;provocation;1882
3741;形勢;keisei;condition;1881
3742;昨春;sakusyun;"last spring";1875
3743;特有;tokuyuu;characteristic;1875
3744;店主;tensyu;shopkeeper;1874
3745;気圧;kiatu;"atmospheric pressure";1873
3746;豪快;gookai;hearty;1873
3747;骨太;honebuto;big-boned;1873
3748;菓子;kasi;pastry;1871
3749;角度;kakudo;angle;1871
3750;攻略;kooryaku;capture;1871
3751;議事;gizi;proceedings;1870
3752;月内;getunai;"by the end of this month";1870
3753;賭博;tobaku;gambling;1869
3754;開店;kaiten;opening;1867
3755;繊細;sensai;dainty;1867
3756;識者;sikisya;"well-informed person";1866
3757;絶妙;zetumyoo;exquisite;1866
3758;一族;itizoku;family;1865
3759;一掃;issoo;"clean sweep";1864
3760;減収;gensyuu;fall;1864
3761;旅券;ryoken;passport;1864
3762;童話;doowa;fairy-tale;1863
3763;発熱;hatunetu;"generation of heat";1863
3764;下位;kai;"low rank";1862
3765;金庫;kinko;safe;1862
3766;遊説;yuuzei;"election tour";1862
3767;互角;gokaku;equality;1861
3768;梅雨;tuyu;"rainy season";1856
3769;部族;buzoku;tribe;1856
3770;高検;kooken;"High Public Prosecutors' Office";1855
3771;総研;sooken;"general research";1855
3772;血圧;ketuatu;"blood pressure";1854
3773;大筋;oosuzi;outline;1854
3774;土台;dodai;foundation;1853
3775;正解;seikai;correct;1851
3776;禁固;kinko;imprisonment;1850
3777;続行;zokkoo;continuation;1848
3778;火事;kazi;fire;1845
3779;断言;dangen;assertion;1845
3780;折衝;sessyoo;negotiation;1844
3781;服装;hukusoo;garments;1843
3782;紛失;hunsitu;"losing something";1843
3783;面談;mendan;interview;1842
3784;同級;dookyuu;"the same grade";1841
3785;表紙;hyoosi;"front cover";1840
3786;地獄;zigoku;hell;1838
3787;底力;sokozikara;"latent energy";1836
3788;臨界;rinkai;critical;1836
3789;処方;syohoo;prescription;1834
3790;命名;meimei;naming;1832
3791;理屈;rikutu;theory;1832
3792;人柄;hitogara;personality;1830
3793;双子;hutago;twins;1829
3794;好奇;kooki;inquisitiveness;1827
3795;在外;zaigai;overseas;1827
3796;贈賄;zoowai;bribery;1826
3797;滞納;tainoo;non-payment;1826
3798;利便;riben;convenience;1826
3799;聴衆;tyoosyuu;audience;1825
3800;皮肉;hiniku;cynicism;1824
3801;謙虚;kenkyo;modesty;1823
3802;熱狂;nekkyoo;"wild enthusiasm";1823
3803;背任;hainin;"breach of trust";1823
3804;乱用;ranyoo;abuse;1823
3805;昼間;hiruma;daytime;1819
3806;的中;tekityuu;"strike home";1817
3807;海峡;kaikyoo;channel;1816
3808;迷走;meisoo;straying;1815
3809;快挙;kaikyo;"brilliant achievement";1813
3810;急騰;kyuutoo;"sudden rise";1812
3811;奉仕;hoosi;attendance;1812
3812;中退;tyuutai;"leaving school during a term";1811
3813;風俗;huuzoku;manners;1809
3814;肥料;hiryoo;manure;1807
3815;手軽;tegaru;easy;1806
3816;転機;tenki;"turning point";1806
3817;同店;dooten;"the same store";1806
3818;生還;seikan;"returning alive";1805
3819;作物;sakumotu;produce;1803
3820;尊厳;songen;dignity;1800
3821;同情;doozyoo;sympathy;1800
3822;着目;tyakumoku;attention;1798
3823;火星;kasei;Mars;1797
3824;立案;rituan;draft;1797
3825;新鋭;sinei;"young and energetic";1796
3826;諸島;syotoo;archipelago;1794
3827;添付;tenpu;attachment;1794
3828;係長;kakarityoo;"chief clerk";1790
3829;同一;dooitu;identity;1790
3830;不全;huzen;partial;1789
3831;構内;koonai;premises;1787
3832;聖地;seiti;"sacred place";1787
3833;政令;seirei;"government ordinance";1786
3834;付与;huyo;grant;1786
3835;意志;isi;will;1785
3836;逃亡;tooboo;escape;1785
3837;文言;mongon;wording;1785
3838;水田;suiden;"paddy field";1783
3839;試練;siren;test;1782
3840;脱落;daturaku;loss;1782
3841;偶然;guuzen;chance;1781
3842;喪失;soositu;loss;1781
3843;省内;syoonai;"in the ministry";1780
3844;養殖;yoosyoku;aquaculture;1777
3845;議院;giin;parliament;1776
3846;砂糖;satoo;sugar;1776
3847;強要;kyooyoo;coercion;1775
3848;初旬;syozyun;"first 10 days of the month";1775
3849;保釈;hosyaku;bail;1775
3850;前衛;zenei;"advance guard";1773
3851;間隔;kankaku;space;1772
3852;通院;tuuin;"commuting to hospital";1772
3853;冷却;reikyaku;cooling;1772
3854;物流;buturyuu;distribution;1769
3855;自負;zihu;conceit;1768
3856;悲鳴;himei;shriek;1768
3857;聯合;rengoo;union;1766
3858;結集;kessyuu;concentration;1765
3859;偵察;teisatu;"scout out";1765
3860;利点;riten;advantage;1765
3861;最古;saiko;"the oldest";1764
3862;相性;aisyoo;affinity;1763
3863;反動;handoo;reaction;1763
3864;華麗;karei;splendor;1762
3865;夢中;mutyuu;daze;1762
3866;辞意;zii;"intention to resign";1761
3867;絶好;zekkoo;best;1761
3868;転覆;tenpuku;capsizing;1761
3869;受章;zyusyoo;"reception of a decoration or order";1760
3870;先勝;sensyoo;"scoring the first point";1760
3871;送致;sooti;sending;1760
3872;予感;yokan;presentiment;1760
3873;特性;tokusei;"special characteristic";1759
3874;域内;ikinai;"inside the area";1758
3875;犠打;gida;"sacrifice fly";1758
3876;熱気;nekki;heat;1758
3877;行列;gyooretu;line;1757
3878;初回;syokai;"first time";1757
3879;身内;miuti;relatives;1756
3880;挫折;zasetu;setback;1754
3881;豚肉;butaniku;pork;1754
3882;大作;taisaku;epic;1753
3883;不定;hutei;uncertainty;1753
3884;題字;daizi;"letters in a title";1752
3885;続伸;zokusin;"continuous rise";1751
3886;捕獲;hokaku;capture;1749
3887;抗争;koosoo;dispute;1748
3888;自責;ziseki;self-condemnation;1748
3889;卸売;orosiuri;wholesale;1747
3890;書面;syomen;document;1746
3891;野鳥;yatyoo;"wild bird";1746
3892;乗務;zyoomu;"doing transport-related work";1744
3893;常連;zyooren;"regular customer";1744
3894;貯蓄;tyotiku;savings;1744
3895;歌詞;kasi;"song lyrics";1741
3896;仕様;siyoo;way;1741
3897;足跡;asiato;footprints;1740
3898;大台;oodai;"100-yen unit";1740
3899;独身;dokusin;bachelorhood;1740
3900;牧場;bokuzyoo;farm;1738
3901;拡張;kakutyoo;expansion;1737
3902;全土;zendo;"the whole nation";1736
3903;熱中;nettyuu;"going nuts";1736
3904;関節;kansetu;joints;1734
3905;母校;bokoo;"alma mater";1734
3906;転用;tenyoo;diversion;1732
3907;入港;nyuukoo;"entry into port";1732
3908;資材;sizai;material;1728
3909;戦死;sensi;"death in action";1728
3910;信任;sinnin;trust;1727
3911;辞書;zisyo;dictionary;1726
3912;屈指;kussi;leading;1724
3913;税法;zeihoo;"taxation law";1724
3914;不妊;hunin;infertility;1724
3915;書家;syoka;calligrapher;1723
3916;満員;manin;"full house";1723
3917;壁画;hekiga;fresco;1722
3918;留任;ryuunin;"in office";1722
3919;中枢;tyuusuu;centre;1721
3920;硬化;kooka;hardening;1719
3921;明白;meihaku;obvious;1719
3922;源泉;gensen;source;1718
3923;社外;syagai;"outside the company";1718
3924;大口;ooguti;"big mouth";1716
3925;貸付;kasituke;loan;1715
3926;熱意;netui;zeal;1715
3927;廃案;haian;"rejected bill";1712
3928;気軽;kigaru;carefree;1711
3929;貸金;kasikin;loan;1709
3930;港湾;koowan;harbours;1708
3931;刺殺;sisatu;"stabbing to death";1707
3932;社名;syamei;"name of company";1707
3933;土砂;dosya;"earth and sand";1706
3934;衰退;suitai;decline;1702
3935;庁舎;tyoosya;"government office building";1702
3936;陶芸;toogei;"ceramic art";1701
3937;血糖;kettoo;"blood sugar";1700
3938;前例;zenrei;precedent;1699
3939;昨今;sakkon;nowadays;1698
3940;究極;kyuukyoku;ultimate;1697
3941;愛国;aikoku;country;1695
3942;実体;zittai;substance;1695
3943;総体;sootai;"the whole";1693
3944;永住;eizyuu;"permanent residence";1690
3945;風力;huuryoku;"wind power";1690
3946;積立;tumitate;saving;1688
3947;年数;nensuu;"number of years";1687
3948;畜産;tikusan;"animal husbandry";1685
3949;渡米;tobei;"going to USA";1683
3950;医院;iin;"doctor's office";1682
3951;美人;bizin;"beautiful person";1682
3952;啓発;keihatu;enlightenment;1681
3953;断熱;dannetu;insulation;1681
3954;次席;ziseki;associate;1680
3955;転売;tenbai;resale;1680
3956;皆様;minasama;everyone;1679
3957;増員;zooin;"increase the number of personnel";1679
3958;非行;hikoo;delinquency;1678
3959;難病;nanbyoo;"incurable disease";1677
3960;斎場;saizyoo;"funeral hall";1675
3961;地銀;tigin;"regional bank";1675
3962;盗聴;tootyoo;interception;1675
3963;経路;keiro;course;1674
3964;真意;sini;"real intention";1674
3965;商戦;syoosen;"sales war";1673
3966;抽象;tyuusyoo;abstract;1673
3967;殺意;satui;"intent to kill";1672
3968;植林;syokurin;afforestation;1672
3969;奏者;soosya;instrumentalist;1671
3970;要人;yoozin;"important person";1670
3971;国税;kokuzei;"national tax";1667
3972;還元;kangen;reduction;1666
3973;競合;kyoogoo;contention;1666
3974;合間;aima;interval;1665
3975;府立;huritu;"managed by an urban prefecture";1665
3976;出力;syuturyoku;output;1664
3977;補修;hosyuu;maintenance;1664
3978;病状;byoozyoo;"patient's condition";1663
3979;墓地;boti;cemetery;1662
3980;再任;sainin;reappointment;1661
3981;真人;sinzin;"true man";1661
3982;元本;ganpon;principal;1659
3983;人的;zinteki;human;1658
3984;同局;dookyoku;"the said bureau";1657
3985;減産;gensan;"reduction in production";1656
3986;反落;hanraku;"reactionary fall";1656
3987;廊下;rooka;corridor;1656
3988;北西;hokusei;northwest;1655
3989;大雨;ooame;"heavy rain";1654
3990;燃焼;nensyoo;burning;1654
3991;魅了;miryoo;fascination;1654
3992;出所;syussyo;birthplace;1653
3993;動作;doosa;action;1653
3994;島民;toomin;islanders;1651
3995;所信;syosin;belief;1650
3996;改称;kaisyoo;renaming;1649
3997;親切;sinsetu;kindness;1649
3998;軌跡;kiseki;"tire track";1647
3999;車線;syasen;"traffic lane";1647
4000;全域;zeniki;"the whole area";1646
4001;卵子;ransi;ovum;1646
4002;高温;kooon;"high temperature";1645
4003;事典;ziten;cyclopedia;1645
4004;弱点;zyakuten;"weak point";1644
4005;需給;zyukyuu;"supply and demand";1644
4006;名鑑;meikan;directory;1644
4007;根絶;konzetu;eradication;1643
4008;根底;kontei;root;1643
4009;満点;manten;"perfect score";1643
4010;妊婦;ninpu;"pregnant woman";1642
4011;素朴;soboku;simplicity;1641
4012;流動;ryuudoo;flow;1641
4013;生前;seizen;"while alive";1640
4014;分譲;bunzyoo;lots;1636
4015;目線;mesen;"one's gaze";1636
4016;運休;unkyuu;"service suspended";1634
4017;好転;kooten;"changing for the better";1634
4018;周知;syuuti;"common knowledge";1634
4019;従軍;zyuugun;campaign;1634
4020;惑星;wakusei;planet;1634
4021;検問;kenmon;inspection;1633
4022;大声;oogoe;"loud voice";1633
4023;投書;toosyo;"letter to the editor";1633
4024;分子;bunsi;numerator;1633
4025;引責;inseki;"taking responsibility";1630
4026;駄目;dame;"no good";1630
4027;木材;mokuzai;lumber;1629
4028;牡馬;boba;"male horse";1627
4029;退団;taidan;"leaving a group or troupe";1627
4030;解読;kaidoku;deciphering;1626
4031;痴呆;tihoo;dementia;1626
4032;世襲;sesyuu;heredity;1625
4033;出向;syukkoo;"being transferred";1624
4034;景色;kesiki;scenery;1623
4035;腰痛;yootuu;pain;1623
4036;税務;zeimu;"taxation business";1623
4037;過労;karoo;overwork;1622
4038;外傷;gaisyoo;"external wound";1622
4039;探偵;tantei;detective;1622
4040;摘出;tekisyutu;"picking out";1621
4041;本件;honken;"this matter";1620
4042;家宝;kahoo;heirloom;1616
4043;勤労;kinroo;labor;1616
4044;上部;zyoobu;"top part";1615
4045;羽根;hane;feather;1613
4046;炎上;enzyoo;"blazing up";1613
4047;喚起;kanki;arousal;1613
4048;武士;busi;warrior;1613
4049;管財;kanzai;"administration of property";1612
4050;敬意;keii;respect;1612
4051;入閣;nyuukaku;"joining the cabinet";1612
4052;奇妙;kimyoo;strange;1610
4053;謝礼;syarei;reward;1610
4054;毎朝;maiasa;"every morning";1609
4055;気迫;kihaku;spirit;1608
4056;部位;bui;part;1608
4057;安堵;ando;relief;1607
4058;素案;soan;draft;1607
4059;素人;sirooto;amateur;1606
4060;暖房;danboo;heating;1606
4061;公庫;kooko;"finance corporation";1604
4062;送還;sookan;"sending home";1604
4063;仲裁;tyuusai;arbitration;1604
4064;付加;huka;addition;1604
4065;役職;yakusyoku;post;1604
4066;景況;keikyoo;situation;1603
4067;内需;naizyu;"domestic demand";1603
4068;粒子;ryuusi;particle;1603
4069;慰謝;isya;consolation;1602
4070;遺書;isyo;"note left by dead person";1602
4071;最善;saizen;"the very best";1602
4072;念願;nengan;"one's heart's desire";1602
4073;欠如;ketuzyo;lack;1600
4074;一帯;ittai;region;1599
4075;根幹;konkan;foundation;1599
4076;問責;monseki;blame;1599
4077;埋蔵;maizoo;"buried property";1598
4078;包装;hoosoo;packing;1597
4079;志望;siboo;wish;1596
4080;指紋;simon;fingerprint;1596
4081;干渉;kansyoo;interference;1595
4082;交番;kooban;"police box";1595
4083;論評;ronpyoo;comment;1595
4084;日付;hizuke;date;1593
4085;量産;ryoosan;"mass production";1593
4086;苦笑;kusyoo;"bitter smile";1591
4087;棄損;kison;damage;1590
4088;転職;tensyoku;"change of occupation";1589
4089;多重;tazyuu;multiple;1588
4090;追突;tuitotu;"rear-end collision";1588
4091;弊害;heigai;"adverse effect";1587
4092;狂言;kyoogen;kyogen;1586
4093;水着;mizugi;"bathing suit";1586
4094;自作;zisaku;"one's own work";1585
4095;愛好;aikoo;love;1584
4096;合法;goohoo;legal;1584
4097;充電;zyuuden;charging;1584
4098;精力;seiryoku;energy;1584
4099;庭園;teien;garden;1584
4100;踏切;humikiri;"railway crossing";1584
4101;介助;kaizyo;help;1583
4102;日数;nissuu;"a number of days";1583
4103;苦境;kukyoo;trouble;1582
4104;四方;sihoo;"every direction";1582
4105;伐採;bassai;lumbering;1582
4106;癒着;yutyaku;adhesion;1582
4107;苦痛;kutuu;pain;1581
4108;来場;raizyoo;attendance;1579
4109;公衆;koosyuu;"the public";1577
4110;遮断;syadan;isolation;1577
4111;小結;komusubi;"wrestler of the fourth highest rank";1577
4112;砲撃;hoogeki;bombarding;1576
4113;液体;ekitai;liquid;1575
4114;順番;zyunban;turn;1575
4115;慰安;ian;solace;1574
4116;帰省;kisei;homecoming;1574
4117;喜劇;kigeki;comedy;1572
4118;混雑;konzatu;congestion;1572
4119;頭痛;zutuu;headache;1572
4120;減給;genkyuu;"pay cut";1571
4121;食物;syokumotu;food;1569
4122;内面;naimen;inside;1569
4123;生体;seitai;organism;1568
4124;中世;tyuusei;"Middle Ages";1568
4125;一新;issin;"complete change";1567
4126;期日;kizitu;"fixed date";1567
4127;区長;kutyoo;"head of a ward";1567
4128;対案;taian;counter-proposal;1565
4129;参与;sanyo;participation;1564
4130;主戦;syusen;"advocacy of war";1564
4131;適応;tekioo;adaptation;1564
4132;到来;toorai;arrival;1564
4133;民俗;minzoku;"folk customs";1564
4134;水域;suiiki;waters;1563
4135;反則;hansoku;"foul play";1563
4136;絶賛;zessan;"high praise";1562
4137;航行;kookoo;cruise;1561
4138;寺院;ziin;temple;1561
4139;西口;nisiguti;"west entrance";1561
4140;動脈;doomyaku;artery;1560
4141;自発;zihatu;spontaneous;1559
4142;警鐘;keisyoo;"alarm bell";1558
4143;兆候;tyookoo;sign;1558
4144;老朽;rookyuu;superannuated;1558
4145;施工;sikoo;construction;1557
4146;受領;zyuryoo;receipt;1557
4147;開通;kaituu;opening;1556
4148;就学;syuugaku;"entering school";1556
4149;山間;sankan;"among the mountains";1555
4150;外側;sotogawa;exterior;1554
4151;処置;syoti;treatment;1554
4152;所蔵;syozoo;possession;1554
4153;議連;giren;"Diet members' caucus";1553
4154;後部;koobu;rear;1553
4155;宣告;senkoku;sentence;1553
4156;凡退;bontai;"out in 1-2-3 order";1553
4157;今夜;konya;"this evening";1552
4158;有数;yuusuu;prominent;1552
4159;在留;zairyuu;stay;1550
4160;高砂;takasago;"double-lined fusilier";1549
4161;付着;hutyaku;"sticking to";1549
4162;公費;koohi;"public expenditure";1548
4163;礼拝;reihai;worship;1548
4164;人脈;zinmyaku;"personal connections";1547
4165;機長;kityoo;pilot;1544
4166;人体;zintai;"human body";1544
4167;断行;dankoo;"decisive action";1543
4168;名所;meisyo;"famous place";1543
4169;物事;monogoto;things;1542
4170;追随;tuizui;follow;1540
4171;機内;kinai;"inside a plane";1539
4172;即日;sokuzitu;"same day";1539
4173;寄贈;kizoo;donation;1538
4174;極右;kyokuu;"extreme right";1538
4175;単価;tanka;"unit price";1538
4176;聖戦;seisen;"holy war";1537
4177;全治;zenti;"complete recovery";1537
4178;送球;sookyuu;"throwing a ball";1537
4179;乳児;nyuuzi;infant;1537
4180;鶏肉;keiniku;"chicken meat";1536
4181;性質;seisitu;nature;1534
4182;闘病;toobyoo;"fighting against an illness";1534
